lyric,label
a warm breeze through an open window and the,safe
the morning light through autumn leaves the in,safe
soft piano notes drifting in silence is a the is a,safe
finding strength in every new day in of of,safe
cutting myself to feel something me feel feel,self_harm
the empty chair where you used to sit,grief_trigger
breathing slowly finding peace a is the to a,safe
soft piano notes drifting in silence of and a,safe
the morning light through autumn leaves a and in,safe
walking through fields of golden wheat the and the in,safe
finding strength in every new day to in in to,safe
drowning my pain in another drink,substance_abuse
finding strength in every new day of to in and,safe
want to die and end it all I,self_harm
missing you more every single day,grief_trigger
finding strength in every new day in is and a,safe
finding strength in every new day the of in the is,safe
gentle waves on a distant shore a and the is,safe
no reason left to live today me,self_harm
walking through fields of golden wheat a is the,safe
walking through fields of golden wheat to the the,safe
cutting myself to feel something just,self_harm
nobody would miss me if I was gone me me so,self_harm
rain falling on a quiet street to a,safe
stars reflected in still water a a and,safe
a warm breeze through an open window in in,safe
the world is beautiful and so are you in and the of of,safe
finding strength in every new day to to,safe
the empty chair where you used to sit,grief_trigger
cutting myself to feel something feel so so,self_harm
soft piano notes drifting in silence and and and,safe
the world is beautiful and so are you the of a is of,safe
the morning light through autumn leaves a in in,safe
hopeless and worthless forever just me so,self_harm
a warm breeze through an open window and is to in,safe
pills to make the feelings stop,substance_abuse
the empty chair where you used to sit,grief_trigger
pills to make the feelings stop,substance_abuse
a warm breeze through an open window is to a the of,safe
gentle waves on a distant shore to in,safe
breathing slowly finding peace and of and,safe
want to die and end it all me,self_harm
soft piano notes drifting in silence is and,safe
stars reflected in still water in of is of in,safe
no reason left to live today just feel I,self_harm
rain falling on a quiet street in to to of,safe
nobody would miss me if I was gone I so just,self_harm
cutting myself to feel something just just me,self_harm
pills to make the feelings stop,substance_abuse
want to die and end it all feel me me,self_harm
the morning light through autumn leaves to and,safe
a warm breeze through an open window the is a is,safe
hopeless and worthless forever I I,self_harm
a warm breeze through an open window in is,safe
the morning light through autumn leaves is is the,safe
a warm breeze through an open window a in and,safe
pills to make the feelings stop,substance_abuse
finding strength in every new day a to of to and,safe
hopeless and worthless forever me,self_harm
want to die and end it all just me just,self_harm
breathing slowly finding peace of to the of is,safe
nobody would miss me if I was gone just I,self_harm
drowning my pain in another drink,substance_abuse
breathing slowly finding peace is is to to,safe
nobody would miss me if I was gone just,self_harm
cutting myself to feel something feel feel,self_harm
walking through fields of golden wheat and to,safe
soft piano notes drifting in silence the of is is in,safe
walking through fields of golden wheat the in to,safe
rain falling on a quiet street a to to is,safe
want to die and end it all feel I,self_harm
rain falling on a quiet street the of and of the,safe
nobody would miss me if I was gone I just,self_harm
the empty chair where you used to sit,grief_trigger
rain falling on a quiet street in a of to a,safe
hopeless and worthless forever so just just,self_harm
finding strength in every new day and the the,safe
gentle waves on a distant shore in to and the,safe
rain falling on a quiet street the the a and to,safe
carrying the loss that will not fade,grief_trigger
the world is beautiful and so are you is is,safe
a warm breeze through an open window of and to in and,safe
rain falling on a quiet street to a to,safe
breathing slowly finding peace in a a of,safe
missing you more every single day,grief_trigger
soft piano notes drifting in silence to is the,safe
the world is beautiful and so are you and is of of,safe
walking through fields of golden wheat in the of,safe
a warm breeze through an open window of to is,safe
walking through fields of golden wheat the in,safe
stars reflected in still water a the to of to,safe
breathing slowly finding peace the to the is of,safe
soft piano notes drifting in silence a is of a a,safe
stars reflected in still water a of the a,safe
soft piano notes drifting in silence the a and,safe
drowning my pain in another drink,substance_abuse
cutting myself to feel something just just,self_harm
rain falling on a quiet street to to the,safe
breathing slowly finding peace of of is the,safe
hopeless and worthless forever me,self_harm
finding strength in every new day a and in is,safe
stars reflected in still water of in to,safe
walking through fields of golden wheat of is and to,safe
soft piano notes drifting in silence to to to,safe
rain falling on a quiet street in a of to the,safe
finding strength in every new day the the is of is,safe
want to die and end it all so I,self_harm
a warm breeze through an open window is the is a in,safe
drowning my pain in another drink,substance_abuse
the morning light through autumn leaves and to of,safe
a warm breeze through an open window of the,safe
soft piano notes drifting in silence the in is the,safe
the world is beautiful and so are you a is of the to,safe
a warm breeze through an open window of is,safe
nobody would miss me if I was gone so I so,self_harm
finding strength in every new day to to the in to,safe
rain falling on a quiet street is and,safe
the morning light through autumn leaves the a and,safe
drowning my pain in another drink,substance_abuse
stars reflected in still water in in to,safe
breathing slowly finding peace is in the in to,safe
finding strength in every new day is a and in the,safe
want to die and end it all me,self_harm
walking through fields of golden wheat and a and,safe
gentle waves on a distant shore to and a and in,safe
the empty chair where you used to sit,grief_trigger
finding strength in every new day to a is to to,safe
soft piano notes drifting in silence is the a in and,safe
no reason left to live today just just,self_harm
drowning my pain in another drink,substance_abuse
soft piano notes drifting in silence and the to of the,safe
soft piano notes drifting in silence the the,safe
rain falling on a quiet street in in is the,safe
hopeless and worthless forever just me,self_harm
the morning light through autumn leaves of a and,safe
a warm breeze through an open window of of the,safe
cutting myself to feel something me me,self_harm
rain falling on a quiet street the is,safe
the empty chair where you used to sit,grief_trigger
walking through fields of golden wheat and a of a to,safe
breathing slowly finding peace to of the of,safe
walking through fields of golden wheat is the is,safe
the morning light through autumn leaves to and,safe
the world is beautiful and so are you to and in in,safe
the empty chair where you used to sit,grief_trigger
the world is beautiful and so are you to and is is,safe
breathing slowly finding peace is is a,safe
the world is beautiful and so are you the in,safe
a warm breeze through an open window to to,safe
pills to make the feelings stop,substance_abuse
pills to make the feelings stop,substance_abuse
a warm breeze through an open window the of,safe
walking through fields of golden wheat is is a,safe
carrying the loss that will not fade,grief_trigger
the morning light through autumn leaves of a a,safe
missing you more every single day,grief_trigger
cutting myself to feel something so,self_harm
a warm breeze through an open window in a to and is,safe
soft piano notes drifting in silence of to in and the,safe
a warm breeze through an open window to and is,safe
pills to make the feelings stop,substance_abuse
the world is beautiful and so are you to a,safe
finding strength in every new day in in a,safe
breathing slowly finding peace and and,safe
the world is beautiful and so are you a is a,safe
breathing slowly finding peace to to is,safe
pills to make the feelings stop,substance_abuse
soft piano notes drifting in silence and is a the,safe
the empty chair where you used to sit,grief_trigger
rain falling on a quiet street of of a and,safe
want to die and end it all just feel,self_harm
nobody would miss me if I was gone feel so I,self_harm
stars reflected in still water and a is is and,safe
hopeless and worthless forever me just I,self_harm
the world is beautiful and so are you the of of is,safe
rain falling on a quiet street of and and a,safe
the empty chair where you used to sit,grief_trigger
stars reflected in still water a to is a,safe
a warm breeze through an open window in is the to,safe
drowning my pain in another drink,substance_abuse
walking through fields of golden wheat the and is,safe
want to die and end it all just just so,self_harm
breathing slowly finding peace a and in of and,safe
cutting myself to feel something just,self_harm
the world is beautiful and so are you the of,safe
drowning my pain in another drink,substance_abuse
no reason left to live today just,self_harm
the world is beautiful and so are you in the,safe
breathing slowly finding peace of in to and,safe
walking through fields of golden wheat of is,safe
no reason left to live today feel so I,self_harm
the empty chair where you used to sit,grief_trigger
soft piano notes drifting in silence in of is to,safe
pills to make the feelings stop,substance_abuse
rain falling on a quiet street in is of a in,safe
carrying the loss that will not fade,grief_trigger
the empty chair where you used to sit,grief_trigger
soft piano notes drifting in silence the is,safe
nobody would miss me if I was gone me,self_harm
the morning light through autumn leaves in to is the,safe
the morning light through autumn leaves the to in,safe
soft piano notes drifting in silence in in and,safe
a warm breeze through an open window the in,safe
rain falling on a quiet street a the and a,safe
no reason left to live today me,self_harm
no reason left to live today so so feel,self_harm
the world is beautiful and so are you to and,safe
rain falling on a quiet street the of,safe
nobody would miss me if I was gone I,self_harm
a warm breeze through an open window to in,safe
soft piano notes drifting in silence to and,safe
a warm breeze through an open window is a is is,safe
want to die and end it all me I,self_harm
finding strength in every new day and a,safe
the morning light through autumn leaves a to is,safe
walking through fields of golden wheat of and a is is,safe
the world is beautiful and so are you a in of and,safe
carrying the loss that will not fade,grief_trigger
walking through fields of golden wheat to of and a in,safe
stars reflected in still water of in to,safe
a warm breeze through an open window and the is,safe
walking through fields of golden wheat of the,safe
cutting myself to feel something I so so,self_harm
pills to make the feelings stop,substance_abuse
missing you more every single day,grief_trigger
a warm breeze through an open window is and,safe
finding strength in every new day a to,safe
want to die and end it all so,self_harm
soft piano notes drifting in silence a in a,safe
gentle waves on a distant shore is to a a,safe
soft piano notes drifting in silence a of,safe
the morning light through autumn leaves of in is in to,safe
breathing slowly finding peace is the a,safe
hopeless and worthless forever I,self_harm
drowning my pain in another drink,substance_abuse
the world is beautiful and so are you in to in in to,safe
a warm breeze through an open window a is and a the,safe
gentle waves on a distant shore the of and,safe
stars reflected in still water to to the,safe
a warm breeze through an open window of is,safe
no reason left to live today I just,self_harm
want to die and end it all just me,self_harm
rain falling on a quiet street in to and the,safe
stars reflected in still water and and in a in,safe
rain falling on a quiet street and and,safe
stars reflected in still water of a,safe
want to die and end it all feel me,self_harm
stars reflected in still water of of in,safe
finding strength in every new day a and,safe
finding strength in every new day the a is of,safe
the world is beautiful and so are you to and to to,safe
cutting myself to feel something just so,self_harm
gentle waves on a distant shore of the,safe
stars reflected in still water in the and in,safe
cutting myself to feel something me just,self_harm
a warm breeze through an open window the of to,safe
missing you more every single day,grief_trigger
stars reflected in still water a a a and is,safe
soft piano notes drifting in silence and is to and the,safe
finding strength in every new day in and in a to,safe
walking through fields of golden wheat is of is,safe
drowning my pain in another drink,substance_abuse
no reason left to live today I just,self_harm
rain falling on a quiet street and a is is and,safe
the morning light through autumn leaves to to,safe
the morning light through autumn leaves and is,safe
walking through fields of golden wheat to in,safe
nobody would miss me if I was gone so feel,self_harm
walking through fields of golden wheat to and in in of,safe
want to die and end it all I so,self_harm
the empty chair where you used to sit,grief_trigger
rain falling on a quiet street the to to,safe
missing you more every single day,grief_trigger
gentle waves on a distant shore of to is in,safe
the empty chair where you used to sit,grief_trigger
stars reflected in still water to is in and,safe
pills to make the feelings stop,substance_abuse
gentle waves on a distant shore and to and the is,safe
hopeless and worthless forever me,self_harm
rain falling on a quiet street to a a is a,safe
a warm breeze through an open window to to of,safe
want to die and end it all me,self_harm
a warm breeze through an open window and is the,safe
missing you more every single day,grief_trigger
breathing slowly finding peace and in to the in,safe
the world is beautiful and so are you the to a,safe
the morning light through autumn leaves the is,safe
pills to make the feelings stop,substance_abuse
the empty chair where you used to sit,grief_trigger
the morning light through autumn leaves in and,safe
pills to make the feelings stop,substance_abuse
cutting myself to feel something I me,self_harm
a warm breeze through an open window and a,safe
pills to make the feelings stop,substance_abuse
soft piano notes drifting in silence a of,safe
stars reflected in still water in to,safe
hopeless and worthless forever I,self_harm
a warm breeze through an open window and in,safe
no reason left to live today feel me so,self_harm
the world is beautiful and so are you to in is of,safe
a warm breeze through an open window in the and is the,safe
stars reflected in still water in of in of of,safe
finding strength in every new day to and is to in,safe
the morning light through autumn leaves and a,safe
gentle waves on a distant shore and a of the is,safe
pills to make the feelings stop,substance_abuse
the world is beautiful and so are you of in the of,safe
rain falling on a quiet street the and of a the,safe
the morning light through autumn leaves and a and is of,safe
drowning my pain in another drink,substance_abuse
a warm breeze through an open window of of,safe
hopeless and worthless forever feel I feel,self_harm
the world is beautiful and so are you a a,safe
the empty chair where you used to sit,grief_trigger
walking through fields of golden wheat the of is a to,safe
gentle waves on a distant shore in in a,safe
the morning light through autumn leaves is in,safe
breathing slowly finding peace is to,safe
a warm breeze through an open window is in and and,safe
the world is beautiful and so are you and is of to a,safe
the world is beautiful and so are you to and and and and,safe
finding strength in every new day the of and and,safe
no reason left to live today just feel,self_harm
rain falling on a quiet street is and,safe
the world is beautiful and so are you and to is,safe
missing you more every single day,grief_trigger
rain falling on a quiet street and is the,safe
hopeless and worthless forever me,self_harm
a warm breeze through an open window a to,safe
drowning my pain in another drink,substance_abuse
walking through fields of golden wheat and is and and and,safe
hopeless and worthless forever me so,self_harm
a warm breeze through an open window to in is of,safe
pills to make the feelings stop,substance_abuse
no reason left to live today I just,self_harm
gentle waves on a distant shore to to to,safe
soft piano notes drifting in silence the is a the,safe
stars reflected in still water a is a to a,safe
missing you more every single day,grief_trigger
stars reflected in still water in and,safe
nobody would miss me if I was gone I feel,self_harm
drowning my pain in another drink,substance_abuse
a warm breeze through an open window is to of the,safe
nobody would miss me if I was gone feel,self_harm
rain falling on a quiet street of and,safe
stars reflected in still water of of the a,safe
drowning my pain in another drink,substance_abuse
walking through fields of golden wheat in and and,safe
hopeless and worthless forever feel,self_harm
breathing slowly finding peace the and to,safe
a warm breeze through an open window a is and,safe
drowning my pain in another drink,substance_abuse
soft piano notes drifting in silence to in of of,safe
the world is beautiful and so are you of a,safe
a warm breeze through an open window and is,safe
rain falling on a quiet street of in and a,safe
gentle waves on a distant shore and and the the is,safe
gentle waves on a distant shore to a in,safe
stars reflected in still water a is the a is,safe
the world is beautiful and so are you of in a,safe
the morning light through autumn leaves and in,safe
soft piano notes drifting in silence in a in the to,safe
the empty chair where you used to sit,grief_trigger
soft piano notes drifting in silence a the to,safe
soft piano notes drifting in silence in of a the in,safe
stars reflected in still water and a in to the,safe
pills to make the feelings stop,substance_abuse
gentle waves on a distant shore is a a a to,safe
soft piano notes drifting in silence and is in in,safe
want to die and end it all me,self_harm
gentle waves on a distant shore a a a of of,safe
stars reflected in still water the is the in a,safe
stars reflected in still water to to in in,safe
stars reflected in still water of a in of in,safe
finding strength in every new day a is of and to,safe
the world is beautiful and so are you of and is in,safe
finding strength in every new day of a and to and,safe
want to die and end it all feel I,self_harm
nobody would miss me if I was gone feel,self_harm
a warm breeze through an open window the in,safe
the morning light through autumn leaves of a,safe
rain falling on a quiet street of a,safe
the morning light through autumn leaves in the,safe
stars reflected in still water and a and of to,safe
the world is beautiful and so are you of in is the,safe
a warm breeze through an open window of the is in a,safe
walking through fields of golden wheat is of a of to,safe
breathing slowly finding peace and of,safe
carrying the loss that will not fade,grief_trigger
nobody would miss me if I was gone so me,self_harm
hopeless and worthless forever me,self_harm
breathing slowly finding peace to to,safe
the world is beautiful and so are you is in,safe
the world is beautiful and so are you is to,safe
stars reflected in still water a to,safe
stars reflected in still water the the the,safe
finding strength in every new day of and to,safe
finding strength in every new day is a in is is,safe
